tekst_id|token_id|token|lemma|upos|head_token_id|dep_rel
6118701|1|Twitter|Twitter|NOUN|2|nsubj
6118701|2|komt|komen|VERB|0|root
6118701|3|nog|nog|ADV|5|amod
6118701|4|dit|dit|DET|5|det
6118701|5|jaar|jaar|NOUN|2|obl
6118701|6|met|met|ADP|8|case
6118701|7|een|een|DET|8|det
6118701|8|functie|functie|NOUN|2|obl
6118701|9|die|die|PRON|13|nsubj
6118701|10|het|het|DET|11|det
6118701|11|Super|Super|PROPN|13|obj
6118701|12|Follow|Follow|PROPN|11|flat
6118701|13|noemt|noemen|VERB|8|acl:relcl
6118701|14|,|,|PUNCT|15|punct
6118701|15|zegt|zeggen|VERB|2|parataxis
6118701|16|een|een|DET|17|det
6118701|17|woordvoerder|woordvoerder|NOUN|15|nsubj
6118701|18|tegen|tegen|ADP|19|case
6118701|19|persbureau|persbureau|NOUN|17|nmod
6118701|20|Reuters|Reuters|PROPN|19|appos
6118701|21|.|.|PUNCT|2|punct
6118701|22|Met|met|ADP|24|case
6118701|23|de|de|DET|24|det
6118701|24|optie|optie|NOUN|30|obl
6118701|25|kunnen|kunnen|AUX|30|aux
6118701|26|gebruikers|gebruiker|NOUN|30|nsubj
6118701|27|tegen|tegen|ADP|28|case
6118701|28|betaling|betalaan|NOUN|30|obl
6118701|29|toegang|toegang|NOUN|30|obj
6118701|30|krijgen|krijgen|VERB|2|parataxis
6118701|31|tot|tot|ADP|33|case
6118701|32|exclusieve|exclusief|ADJ|33|amod
6118701|33|berichten|bericht|NOUN|30|obl
6118701|34|van|van|ADP|37|case
6118701|35|een|een|DET|37|det
6118701|36|andere|ander|ADJ|37|amod
6118701|37|gebruiker|gebruiker|NOUN|33|nmod
6118701|38|.|.|PUNCT|2|punct
6118701|1|Twitter-gebruikers|Twitter-gebruiker|NOUN|9|nsubj
6118701|2|kunnen|kunnen|AUX|9|aux
6118701|3|bepaalde|bepalen|VERB|4|amod
6118701|4|tweets|tweets|NOUN|9|nsubj
6118701|5|alleen|alleen|ADV|9|advmod
6118701|6|voor|voor|ADP|8|case
6118701|7|hun|hun|PRON|8|nmod:poss
6118701|8|supervolgers|supervolger|NOUN|9|obl
6118701|9|plaatsen|plaatsen|VERB|0|root
6118701|10|.|.|PUNCT|9|punct
6118701|1|Ook|ook|ADV|10|advmod
6118701|2|kunnen|kunnen|AUX|10|aux
6118701|3|mensen|mens|NOUN|10|nsubj
6118701|4|en|en|CCONJ|5|cc
6118701|5|bedrijven|bedrijf|NOUN|3|conj
6118701|6|met|met|ADP|7|case
6118701|7|supervolgers|supervolger|NOUN|10|obl
6118701|8|hen|hen|PRON|7|iobj
6118701|9|nieuwsbrieven|nieuwsbrief|NUM|7|obj
6118701|10|gaan|gaan|VERB|0|root
6118701|11|sturen|sturen|VERB|10|xcomp
6118701|12|.|.|PUNCT|10|punct
6118701|1|Het|het|DET|3|det
6118701|2|sociale|sociaal|ADJ|3|amod
6118701|3|medium|medium|NOUN|4|nsubj
6118701|4|wil|willen|VERB|0|root
6118701|5|dat|dat|SCONJ|10|mark
6118701|6|zijn|zijn|PRON|8|nmod:poss
6118701|7|individuele|individueel|ADJ|8|amod
6118701|8|producten|product|NOUN|10|nsubj
6118701|9|elkaar|elkaar|PRON|10|obj
6118701|10|versterken|versterken|VERB|4|ccomp
6118701|11|,|,|PUNCT|12|punct
6118701|12|zei|zeggen|VERB|4|parataxis
6118701|13|directeur|directeur|NOUN|12|nsubj
6118701|14|Jack|Jack|PROPN|13|appos
6118701|15|Dorsey|Dorsey|PROPN|14|flat
6118701|16|tijdens|tijdens|ADP|18|case
6118701|17|een|een|DET|18|det
6118701|18|livestream|livestream|NOUN|12|obl
6118701|19|.|.|PUNCT|4|punct
6118701|20|"|"|PUNCT|21|punct
6118701|21|Neem|neem|VERB|4|parataxis
6118701|22|audiokamers|audiokamer|NOUN|21|fixed
6118701|23|,|,|PUNCT|27|punct
6118701|24|die|die|PRON|27|obj
6118701|25|we|we|PRON|27|nsubj
6118701|26|Spaces|Spaces|ADJ|27|xcomp
6118701|27|noemen|noemen|VERB|21|acl:relcl
6118701|28|,|,|PUNCT|30|punct
6118701|29|en|en|CCONJ|30|cc
6118701|30|nieuwsbrieven|nieuwsbrief|NUM|21|conj
6118701|31|,|,|PUNCT|35|punct
6118701|32|die|die|PRON|35|obj
6118701|33|we|we|PRON|35|nsubj
6118701|34|kunnen|kunnen|AUX|35|aux
6118701|35|aanbieden|aanbieden|VERB|4|acl:relcl
6118701|36|door|door|ADP|38|case
6118701|37|onze|ons|PRON|38|nmod:poss
6118701|38|overname|overname|NOUN|35|obl
6118701|39|van|van|ADP|40|case
6118701|40|Revue|Revue|PROPN|38|nmod
6118701|41|.|.|PUNCT|4|punct
6118701|42|"|"|PUNCT|48|punct
6118701|43|"|"|PUNCT|48|punct
6118701|44|Je|je|PRON|48|nsubj
6118701|45|kunt|kunnen|AUX|48|aux
6118701|46|je|je|PRON|48|nsubj
6118701|47|makkelijk|makkelijk|ADJ|48|advmod
6118701|48|voorstellen|voorstel|VERB|4|parataxis
6118701|49|dat|dat|SCONJ|51|mark
6118701|50|je|je|PRON|51|nsubj
6118701|51|begint|beginnen|VERB|48|ccomp
6118701|52|met|met|ADP|54|case
6118701|53|een|een|DET|54|det
6118701|54|tweet|tweet|NOUN|51|obl
6118701|55|,|,|PUNCT|59|punct
6118701|56|de|de|DET|57|det
6118701|57|dialoog|dialoog|NOUN|59|nsubj
6118701|58|zich|zich|PRON|59|expl:pv
6118701|59|verplaatst|verplaatsen|VERB|4|parataxis
6118701|60|naar|naar|ADP|62|case
6118701|61|live|liaf|ADJ|62|amod
6118701|62|audio|audio|NOUN|59|obl
6118701|63|en|en|CCONJ|66|cc
6118701|64|dit|dit|DET|65|det
6118701|65|gesprek|gesprek|NOUN|66|obj
6118701|66|samengevat|samenvatten|VERB|59|conj
6118701|67|wordt|worden|AUX|66|aux:pass
6118701|68|in|in|ADP|69|case
6118701|69|tekst|tekst|NOUN|66|obl
6118701|70|.|.|PUNCT|4|punct
6118701|1|Het|het|PRON|4|nsubj
6118701|2|is|zijn|AUX|4|cop
6118701|3|deze|deze|DET|4|det
6118701|4|interactie|interactie|NOUN|0|root
6118701|5|die|die|PRON|8|nsubj
6118701|6|krachtig|krachtig|ADJ|8|advmod
6118701|7|zal|zullen|AUX|8|aux
6118701|8|blijken|blijken|VERB|4|acl:relcl
6118701|9|.|.|PUNCT|4|punct
6118701|10|"|"|PUNCT|4|punct
6118701|1|Met|met|ADP|5|case
6118701|2|onder|onder|ADP|5|amod
6118701|3|meer|veel|PRON|2|fixed
6118701|4|deze|deze|DET|5|det
6118701|5|stappen|stappen|NOUN|6|obl
6118701|6|wil|willen|VERB|0|root
6118701|7|Twitter|Twitter|PROPN|6|nsubj
6118701|8|zijn|zijn|PRON|9|nmod:poss
6118701|9|omzet|omzet|NOUN|10|obj
6118701|10|verdubbelen|verdubbelen|VERB|6|xcomp
6118701|11|.|.|PUNCT|6|punct
6118701|1|Het|het|DET|2|det
6118701|2|bedrijf|bedrijf|NOUN|3|nsubj
6118701|3|streeft|streven|VERB|0|root
6118701|4|naar|naar|ADP|6|case
6118701|5|een|een|DET|6|det
6118701|6|inkomen|inkomen|NOUN|3|obl
6118701|7|van|van|ADP|9|case
6118701|8|7,5|7,5|NUM|9|nummod
6118701|9|miljard|miljard|NOUN|6|nmod
6118701|10|dollar|dollar|NOUN|9|nmod
6118701|11|(|(|PUNCT|13|punct
6118701|12|6,17|6,17|NUM|13|nummod
6118701|13|miljard|miljard|NOUN|9|nmod
6118701|14|euro|euro|NOUN|13|nmod
6118701|15|)|)|PUNCT|13|punct
6118701|16|in|in|ADP|17|case
6118701|17|2023|2023|NUM|3|obl
6118701|18|.|.|PUNCT|3|punct
6118701|1|Twitter|Twitter|NOUN|2|nsubj
6118701|2|staat|staan|VERB|0|root
6118701|3|volgens|volgens|ADP|4|case
6118701|4|critici|criticus|NOUN|2|obl
6118701|5|al|al|ADV|6|advmod
6118701|6|jaren|jaar|NOUN|2|obl
6118701|7|stil|stil|ADJ|2|compound:prt
6118701|8|.|.|PUNCT|2|punct
6118701|1|Volgens|volgens|ADP|2|case
6118701|2|directeur|directeur|NOUN|4|obl
6118701|3|Dorsey|Dorsey|PROPN|2|appos
6118701|4|komt|komen|VERB|0|root
6118701|5|dat|dat|SCONJ|9|mark
6118701|6|omdat|omdat|SCONJ|9|mark
6118701|7|het|het|DET|8|det
6118701|8|bedrijf|bedrijf|NOUN|9|nsubj
6118701|9|traag|traag|ADJ|4|csubj
6118701|10|en|en|CCONJ|12|cc
6118701|11|niet|niet|ADV|12|advmod
6118701|12|innovatief|innovatief|ADJ|9|conj
6118701|13|is|zijn|AUX|9|cop
6118701|14|,|,|PUNCT|20|punct
6118701|15|en|en|CCONJ|20|cc
6118701|16|omdat|omdat|SCONJ|20|mark
6118701|17|Twitter|Twitter|PROPN|20|nsubj
6118701|18|geen|geen|DET|19|det
